,food_id,food_group,food_subgroup,name_scientific,description
10,13,Herbs and Spices,Herbs,Anethum graveolens,"Dill (Anethum graveolens), also known as Lao coriander, depending on where it is grown, is either a perennial or annual herb. It is the sole species of the genus Anethum.  Dill is widely grown in Eurasia where its leaves and seeds are used as a herb or spice for flavouring food. Like caraway, the fern-like leaves of dill are aromatic and are used to flavor many foods such as gravlax (cured salmon) and other fish dishes, borscht and other soups, as well as pickles (where the dill flower is sometimes used). Dill is best when used fresh as it loses its flavor rapidly if dried; however, freeze-dried dill leaves retain their flavor relatively well for a few months [Wikipedia]."
11,14,Fruits,Tropical fruits,Annona reticulata,"Custard apple, is a common name for a fruit, and the tree which bears it, Annona reticulata Custard apple may also refer to similar fruits produced by related trees: Annonaceae, the custard apple or soursop family. Annona cherimola, a tree and fruit also called cherimoya. Annona squamosa, a tree and fruit also called sugar apple or sweetsop Annona senegalensis, a tree and fruit called wild custard-apple Casimiroa edulis, also called white sapote, a fruit related to the citrus."
12,15,Herbs and Spices,Spices,Apium graveolens,"Wild celery is a common name for several plants Wild celery may refer to Wild growing forms of celery, Apium graveolens Angelica archangelica, cultivated as a vegetable and medicinal plant Lovage, Levisticum officinale, sometimes known as wild celery Vallisneria americana, an aquatic plant in the Hydrocharitaceae family"
13,16,Dairy and Fat,Nuts,Arachis hypogaea,"The peanut, also known as the groundnut and the goober and taxonomically classified as <i>Arachis hypogaea</i>, is a legume crop grown mainly for its edible seeds. It is widely grown in the tropics and subtropics, being important to both small and large commercial producers. It is classified as both a grain legume and, because of its high oil content, an oil crop. World annual production of shelled peanuts was 42 million tonnes in 2014. Atypically among crop plants, peanut pods develop underground rather than aboveground. It is this characteristic that the botanist Linnaeus used to assign the specific name <i>hypogaea</i>, which means ""under the earth."" (Wikipedia)"
14,17,Vegetables,Root vegetables,Arctium lappa,"Arctium lappa, commonly called greater burdock, gob?,edible burdock, lappa, or beggar's buttons, is a biennial plant of the Arctium (burdock) genus in the Asteraceae family, cultivated in gardens for its root used as a vegetable. It is an invasive weed of high-nitrogen soils.
The root contains a fair amount of gobō dietary fiber (GDF, 6g per 100g), calcium, potassium, amino acids, and is low calorie. It contains polyphenols that causes darkened surface and muddy harshness by formation of tannin-iron complexes. Those polyphenols are caffeoylquinic acid derivatives.
The root is very crisp and has a sweet, mild, and pungent flavor with a little muddy harshness that can be reduced by soaking julienned/shredded roots in water for five to ten minutes. The harshness shows excellent harmonization with pork in miso soup (tonjiru) and takikomi gohan (a Japanese-style pilaf)."
15,18,Herbs and Spices,Spices,Armoracia rusticana,"Horseradish (Armoracia rusticana, syn. Cochlearia armoracia) is a perennial plant of the Brassicaceae family (which also includes mustard, wasabi, broccoli, and cabbage). The plant is probably native to southeastern Europe and western Asia. It is now popular around the world. It grows up to 1.5 metres (5 feet) tall, and is cultivated primarily for its large, white, tapered root. The intact horseradish root has hardly any aroma. When cut or grated, however, enzymes from the now-broken plant cells break down sinigrin to produce allyl isothiocyanate, which irritates the mucous membranes of the sinuses and eyes. Once exposed to air (via grating) or heat, if not used immediately or mixed in vinegar, the grated mash darkens, loses its pungency, and becomes unpleasantly bitter-tasting."
16,19,Herbs and Spices,Herbs,Artemisia dracunculus,"Tarragon (Artemisia dracunculus) is a species of perennial herb in the family Asteraceae. One sub-species, Artemisia dracunculus var. sativa, is cultivated for use of the leaves as an aromatic culinary herb. In some other sub-species, the characteristic aroma is largely absent. The species is polymorphic. Informal names for distinguishing the variations include ""French tarragon"" (best for culinary use), ""Russian tarragon"" (typically better than wild tarragon but not as good as so-called French tarragon for culinary use), and ""wild tarragon"" (covers various states).
Tarragon is one of the four fines herbes of French cooking, and is particularly suitable for chicken, fish and egg dishes. Tarragon is the main flavoring component of Béarnaise sauce. Fresh, lightly bruised sprigs of tarragon are steeped in vinegar to produce tarragon vinegar.
Tarragon is used to flavor a popular carbonated soft drink in the countries of Azerbaijan, Armenia, Georgia and, by extension, Russia, Ukraine and Kazakhstan. The drink, named Tarhun (Armenian pronunciation: [t???xun] ???????), is made out of sugary tarragon concentrate and colored bright green."
17,21,Vegetables,Shoot vegetables,Asparagus officinalis,"Asparagus officinalis is a spring vegetable, a flowering perennial plant species in the genus Asparagus. It was once classified in the lily family, like its Allium cousins, onions and garlic, but the Liliaceae have been split and the onion-like plants are now in the family Amaryllidaceae and asparagus in the Asparagaceae. Asparagus officinalis is native to most of Europe, northern Africa and western Asia, and is widely cultivated as a vegetable crop."
18,22,Grains,Cereals,Avena sativa,"The common oat (Avena sativa) is a species of cereal grain grown for its seed, which is known by the same name (usually in the plural, unlike other grains). While oats are suitable for human consumption as oatmeal and rolled oats, one of the most common uses is as livestock feed."
19,23,Fruits,Tropical fruits,Averrhoa carambola,"Averrhoa carambola is a species of woody plant in the family Oxalidaceae; it has a number of common names including Carambola and Starfruit. This evergreen tree is native to Southeast Asia and the Indian Subcontinent. A. carambola is a small tree or shrub that grows 5–12 meters tall, with rose to red-purple flowers. The flowers are small and bell-shaped, with five petals that have whitish edges. The flowers are often produced year round under tropical conditions. The tree is cultivated in tropical and semitropical regions for its edible fruits and for medicinal uses."
20,24,Dairy and Fat,Nuts,Bertholletia excelsa,"The Brazil nut (Bertholletia excelsa) is a South American tree in the family Lecythidaceae, and also the name of the tree's commercially harvested edible seed."
21,25,Vegetables,Leaf vegetables,Beta vulgaris,"The beet (Beta vulgaris) is a plant in the Chenopodiaceae family which is now included in Amaranthaceae family. It is best known in its numerous cultivated varieties, the most well known of which is the root vegetable known as the beetroot or garden beet. However, other cultivated varieties include the leaf vegetable chard, as well as the root vegetable sugar beet, which is important in the production of table sugar, and mangelwurzel, which is a fodder crop. Three subspecies are typically recognised. All cultivated varieties fall into the subspecies Beta vulgaris subsp. vulgaris, while Beta vulgaris subsp. maritima, commonly known as the sea beet, is the wild ancestor of these, and is found throughout the Mediterranean, the Atlantic coast of Europe, the Near East, and India. A second wild subspecies, Beta vulgaris subsp. adanensis, occurs from Greece to Syria. The roots are most commonly deep red-purple in color, but come in a wide variety of other shades, including golden yellow and red-and-white striped. Beta vulgaris is a herbaceous biennial or, rarely, perennial plant with leafy stems growing to 1–2 m tall. The leaves are heart-shaped, 5–20 cm long on wild plants (often much larger in cultivated plants). The flowers are produced in dense spikes; each flower is very small, 3–5 mm diameter, green or tinged reddish, with five petals; they are wind pollinated. The fruit is a cluster of hard nutlets."
22,27,Vegetables,Cabbages,Brassica juncea,"Brassica juncea, also known as mustard greens, Indian mustard, Chinese mustard, and leaf mustard, is a species of mustard plant. Subvarieties include southern giant curled mustard, which resembles a headless cabbage such as kale, but with a distinct horseradish-mustard flavor. It is also known as green mustard cabbage."
23,28,Vegetables,Root vegetables,Brassica napus,"The swede (from Swedish turnip), rutabaga, turnip, yellow turnip, or neep (Brassica napobrassica, or Brassica napus var. napobrassica, or Brassica napus subsp. rapifera) is a root vegetable that originated as a cross between the cabbage and the turnip. The roots are prepared for human food in a variety of ways, and the leaves can be eaten as a leaf vegetable. The roots and tops are also used as winter feed for livestock, when they may be fed directly, or by allowing the animals to forage the plants in the field."
24,30,Vegetables,Cabbages,Brassica oleracea,"Brassica oleracea is the species of plant that includes many common foods as cultivars, including cabbage, broccoli, cauliflower, kale, Brussels sprouts, savoy, and Chinese kale. In its uncultivated form it is known as wild cabbage. It is native to coastal southern and western Europe. Its tolerance of salt and lime and its intolerance of competition from other plants typically restrict its natural occurrence to limestone sea cliffs, like the chalk cliffs on both sides of the English Channel.
B. oleracea has become established as an important human food crop plant, used because of its large food reserves, which are stored over the winter in its leaves. It is rich in essential nutrients including vitamin C. A diet rich in cruciferous vegetables (e.g., cabbage, broccoli, cauliflower) is linked to a reduced risk of several human cancers."
25,31,Vegetables,Cabbages,Brassica oleracea var. botrytis,"Cauliflower is one of several vegetables in the species Brassica oleracea, in the family Brassicaceae. It is an annual plant that reproduces by seed. Typically, only the head (the white curd) is eaten. The cauliflower head is composed of a white inflorescence meristem. Cauliflower heads resemble those in broccoli, which differs in having flower buds.
Its name is from Latin caulis (cabbage) and flower. Brassica oleracea also includes broccoli, brussels sprouts, cabbage, collard greens, and kale, though they are of different cultivar groups.
Cauliflower is low in fat, low in carbohydrates but high in dietary fiber, folate, water, and vitamin C, possessing a high nutritional density.
Cauliflower can be roasted, boiled, fried, steamed, or eaten raw."
26,32,Vegetables,Cabbages,Brassica oleracea var. gemmifera,"The Brussels sprout is a cultivar in the Gemmifera group of cabbages, grown for its edible buds. The leafy green vegetables are typically 2.5–4 cm (0.98–1.6 in) in diameter and look like miniature cabbages. The Brussels sprout has long been popular in Brussels, Belgium, and may have originated there."
27,33,Vegetables,Root vegetables,Brassica oleracea var. gongylodes,"Kohlrabi (German turnip or turnip cabbage) (Brassica oleracea Gongylodes group) (Olkopi in Assamese and Bengali) (Monji Haak in Kashmiri) is an annual vegetable, and is a low, stout cultivar of cabbage. Kohlrabi can be eaten raw as well as cooked.
Kohlrabi stems are surrounded by two distinct fibrous layers that do not soften appreciably when cooked. These layers are generally peeled away prior to cooking or serving raw, with the result that the stems often provide a smaller amount of food than one might assume from their intact appearance.
The Kohlrabi root is frequently used raw in salad or slaws. It has a texture similar to that of a broccoli stem, but with a flavor that is sweeter and less vegetal.
Kohlrabi leaves are edible and can be used interchangeably with collard and kale.
Kohlrabi is an important part of the Kashmiri diet and one of the most commonly cooked foods. It is prepared with its leaves and served with a light gravy and eaten with rice.
Some varieties are grown as feed for cattle."
28,34,Vegetables,Cabbages,Brassica oleracea var. italica,"Broccoli is an edible green plant in the cabbage family, whose large flowering head is used as a vegetable. The word broccoli comes from the Italian plural of broccolo, which means ""the flowering top of a cabbage"", and is the diminutive form of brocco, meaning ""small nail"" or ""sprout"". Broccoli is often boiled or steamed but may be eaten raw."
29,35,Vegetables,Cabbages,Brassica rapa,"Chinese cabbage (Brassica rapa, subspecies pekinensis and chinensis) can refer to two distinct varieties of Chinese leaf vegetables often used in Chinese cuisine: Pekinensis (napa cabbage) and Chinensis (bok choi).
These vegetables are both variant cultivars or subspecies of the turnip and belong to the same genus as such Western staples as cabbage, broccoli, and cauliflower. Both have many variations in name, spelling, and scientific classification?especially the bok choy (B. rapa chinensis) variety."
30,36,Herbs and Spices,Herbs,Brassica rapa var. rapa,"The turnip or white turnip (Brassica rapa subsp. rapa) is a root vegetable commonly grown in temperate climates worldwide for its white, bulbous taproot. Small, tender varieties are grown for human consumption, while larger varieties are grown as feed for livestock.
In the north of England and Scotland, turnip (or neep; the word turnip itself is an old compound of neep) refers to the larger, yellow rutabaga root vegetable which is also known as the ""swede"" (from ""Swedish turnip"")."
31,37,Grains,Peas,Cajanus cajan,"The pigeon pea (Cajanus cajan) is a perennial legume from the family Fabaceae. Since its domestication in India at least 3,500 years ago, its seeds have become a common food grain in Asia, Africa, and Latin America. It is consumed on a large scale mainly in south Asia and is a major source of protein for the population of that subcontinent. Pigeon peas are both a food crop (dried peas, flour, or green vegetable peas) and a forage/cover crop. In combination with cereals, pigeon peas make a well-balanced human food. The dried peas may be sprouted briefly, then cooked, for a flavor different from the green or dried peas. Sprouting also enhances the digestibility of dried pigeon peas via the reduction of indigestible sugars that would otherwise remain in the cooked dried peas. Pigeon peas contain high levels of protein and the important amino acids methionine, lysine, and tryptophan. [Wikipedia]"
32,38,Beverages,Teas,Camellia sinensis,"Tea is an aromatic beverage commonly prepared by pouring hot or boiling water over cured leaves of the tea plant, Camellia sinensis. After water, tea is the most widely consumed beverage in the world. It has a cooling, slightly bitter, and astringent flavour that many people enjoy."
33,39,Herbs and Spices,Spices,Capparis spinosa,"Capparis spinosa, the caper bush, also called Flinders rose, is a perennial winter-deciduous plant that bears rounded, fleshy leaves and large white to pinkish-white flowers. The plant is best known for the edible flower buds (capers), often used as a seasoning, and the fruit (caper berry), both of which are usually consumed pickled. Other species of Capparis are also picked along with C. spinosa for their buds or fruits. Other parts of Capparis plants are used in the manufacture of medicines and cosmetics."
34,40,Vegetables,Fruit vegetables,Capsicum annuum,"<i>Capsicum annuum</i> is a domesticated species of the plant genus <i>Capsicum</i> native to southern North America and northern South America. The three species <i>C. annuum</i>, <i>C. frutescens</i> and <i>C. chinense</i> all evolved from a single common ancestor located somewhere in the northwest Brazil - Colombia area. <i>Capsicum annuum</i> is the most common and extensively cultivated of the five domesticated capsicums. The species is a source of popular ""sweet peppers"":http://en.wikipedia.org/wiki/Bell_peppers and ""hot chilis"":http://en.wikipedia.org/wiki/Chili_pepper with numerous varieties cultivated all around the world. In American English the plant is commonly known as a chili pepper or bell pepper. In British English, the sweet varieties are called red or green peppers and the hot varieties chillies, whereas in Australian and Indian English the name capsicum is commonly used for bell peppers exclusively and chilli is often used to encompass the hotter varieties. [Wikipedia] See a ""list of capsicum cultivars"":http://en.wikipedia.org/wiki/List_of_Capsicum_cultivars."
35,41,Fruits,Tropical fruits,Carica papaya,"The papaya, papaw, or pawpaw is the fruit of the plant Carica papaya, the sole species in the genus Carica of the plant family Caricaceae. It is native to the tropics of the Americas, perhaps from southern Mexico and neighbouring Central America. It was first cultivated in Mexicoseveral centuries before the emergence of the Mesoamerican classical civilizations. The papaya is a large, tree-like plant, with a single stem growing from 5 to 10 m (to ft) tall, with spirally arranged leaves confined to the top of the trunk. The lower trunk is conspicuously scarred where leaves and fruit were borne. The leaves are large, 50–70 cm in diameter, deeply palmately lobed, with seven lobes. Unusually for such large plants, the trees are dioecious. The tree is usually unbranched, unless lopped. The flowers are similar in shape to the flowers of the Plumeria, but are much smaller and wax-like. They appear on the axils of the leaves, maturing into large fruit - 15–45 cm long and 10–30 cm in diameter. The fruit is ripe when it feels soft (as soft as a ripe avocado or a bit softer) and its skin has attained an amber to orange hue. Carica papaya was the first transgenic fruit tree to have its genome deciphered."
36,42,Herbs and Spices,Oilseed crops,Carthamus tinctorius,"Safflower is a highly branched, herbaceous, thistle-like annual. It is commercially cultivated for vegetable oil extracted from the seeds. Plants are 30 to 150 cm (to in) tall with globular flower heads having yellow, orange, or red flowers. Each branch will usually have from one to five flower heads containing 15 to 20 seeds per head. Safflower is native to arid environments having seasonal rain. It grows a deep taproot which enables it to thrive in such environments."
37,43,Herbs and Spices,Spices,Carum carvi,"Caraway (Carum carvi), also known as meridian fennel, or Persian cumin, is a biennial plant in the family Apiaceae, native to western Asia, Europe and Northern Africa. The plant is similar in appearance to other members of the carrot family, with finely divided, feathery leaves with thread-like divisions, growing on 20–30 cm stems. The main flower stem is 40–60 cm tall, with small white or pink flowers in umbels. Caraway fruits are crescent-shaped achenes, around 2 mm long, with five pale ridges."
38,44,Dairy and Fat,Nuts,Carya illinoinensis,"The pecan (Carya illinoinensis) are the fruit of a kind of hickory tree, native to North America and Mexico. Pecans were one of the most recently domesticated major crops. Although wild pecans were well known among native and colonial Americans as a delicacy, the commercial growing of pecans in the United States did not begin until the 1880s. Today, the U.S. produces between 80% and 95% of the world's pecans, with an annual crop of 150–200 thousand tons.

In 100 g, pecans provide 691 Calories and over 100% of the Daily Value (DV) for total fat. Pecans are a rich source of dietary fiber (38% DV), manganese (214% DV), magnesium (34% DV), phosphorus (40% DV), zinc (48% DV) and thiamin (57% DV).[20] Pecans are also a good source (10-19% DV) of protein, iron, and B vitamins. Their fat content consists mainly of monounsaturated fatty acids, mainly oleic acid (57% of total fat), and the polyunsaturated fatty acid linoleic acid (30% of total fat) [Wikipedia]"
39,45,Dairy and Fat,Nuts,Castanea,"A chestnut is the seed of a tree related to the oak tree, which grows in the northern hemisphere. It grows its seeds in a spikey shell.
Chestnuts can be eaten raw but they do not taste very good this way. They are most often roasted before you eat them, but they can also be eaten candied, boiled, steamed, grilled or used as a stuffing.
"
40,47,Grains,Peas,Cicer arietinum,"The chickpea (Cicer arietinum) is a legume of the family Fabaceae, subfamily Faboideae. Its seeds are high in protein. It is one of the earliest cultivated legumes: 7,500-year-old remains have been found in the Middle East. Other common names for the species include garbanzo bean, ceci bean, sanagalu, chana, hummus and Bengal gram."
41,48,Vegetables,Leaf vegetables,Cichorium endivia,"Endive, Cichorium endivia, is a leaf vegetable belonging to the daisy family. Endive can be cooked or used raw in salads. Endive is rich in many vitamins and minerals, especially in folate and vitamins A and K, and is high in fiber. There are two main varieties of cultivated C. endivia endive: (1) Curly endive, or frisée (var crispum). This type has narrow, green, curly outer leaves. It is sometimes called chicory in the United States and is called chicorée frisée in French. Further confusion results from the fact that frisée also refers to greens lightly wilted with oil. (2) Escarole, or broad-leaved endive (var latifolia), has broad, pale green leaves and is less bitter than the other varieties. Varieties or names include broad-leaved endive, Bavarian endive, Batavian endive, grumolo, scarola, and scarole. It is eaten like other greens, sauteed, chopped into soups and stews, or as part of a green salad (Wikipedia)."
42,49,Vegetables,Root vegetables,Cichorium intybus,"Common chicory, Cichorium intybus, is a somewhat woody, perennial herbaceous plant usually with bright blue flowers, rarely white or pink. Many varieties are cultivated for salad leaves, chicons (blanched buds), or for roots (var. sativum), which are baked, ground, and used as a coffee substitute and additive. It is also grown as a forage crop for livestock. It lives as a wild plant on roadsides in its native Europe, and in North America and Australia, where it has become widely naturalized."
43,50,Herbs and Spices,Spices,Cinnamomum aromaticum,"Cinnamomum cassia, called Chinese cassia or Chinese cinnamon, is an evergreen tree originating in southern China, and widely cultivated there and elsewhere in southern and eastern Asia (India, Indonesia, Laos, Malaysia, Taiwan, Thailand, and Vietnam). It is one of several species of Cinnamomum that are used primarily for their aromatic bark, which is used as a spice. In the United States of America, Chinese cassia is often sold under the culinary name of ""cinnamon"". The buds are also used as a spice, especially in India, and were once used by the ancient Romans."
44,51,Herbs and Spices,Spices,Cinnamomum verum,"Cinnamomum verum, called ""true cinnamon"", Ceylon cinnamon or Sri Lanka cinnamon is a small evergreen tree belonging to the family Lauraceae, native to Sri Lanka. Among other species, its inner bark is used to make cinnamon."
45,52,Vegetables,Gourds,Citrullus lanatus,"Watermelon (Citrullus lanatus, family Cucurbitaceae) is a vine-like (scrambler and trailer) flowering plant originally from southern Africa. Its fruit, which is also called watermelon, is a special kind referred to by botanists as a pepo, a berry which has a thick rind and fleshy center (mesocarp and endocarp). Pepos are derived from an inferior ovary, and are characteristic of the Cucurbitaceae. The watermelon fruit, loosely considered a type of melon – although not in the genus Cucumis – has a smooth exterior rind (green, yellow and sometimes white) and a juicy, sweet interior flesh (usually deep red to pink, but sometimes orange, yellow and even green if not ripe)."
46,53,Fruits,Citrus,Citrus aurantiifolia,"The Key lime (Citrus × aurantiifolia) is a citrus species with a globose fruit, 2.5-5 cm in diameter (1-2 in), that is yellow when ripe but usually picked green commercially. It is smaller and seedier, with a higher acidity, a stronger aroma, and a thinner rind, than that of the Persian lime (Citrus × latifolia). It is valued for its unique flavor compared to other limes, with the Key lime usually having a more tart and bitter flavor. The name comes from its association with the Florida Keys, where it is best known as the flavoring ingredient in Key lime pie. It is also known as West Indian lime, bartender's lime, Omani lime, or Mexican lime, the latter classified as a distinct race with a thicker skin and darker green color. Philippine varieties have various names, including dayap and bilolo."
47,54,Fruits,Citrus,Citrus limon,"The lemon is a small evergreen tree native to Asia, and the tree's ellipsoidal yellow fruit. The fruit is used for culinary and non-culinary purposes throughout the world, primarily for its juice, though the pulp and rind are also used in cooking and baking. The juice of the lemon is about 5% to 6% citric acid, which gives lemons a sour taste. The distinctive sour taste of lemon juice makes it a key ingredient in drinks and foods such as lemonade."
48,55,Fruits,Citrus,Citrus maxima,"The pomelo (Citrus maxima or Citrus grandis), pummelo, pommelo, or shaddock is a crisp citrus fruit native to South and Southeast Asia. It is usually pale green to yellow when ripe, with sweet white (or, more rarely, pink or red) flesh and very thick albedo (rind pith). It is the largest citrus fruit, 15–25 centimetres (&#160) in diameter, and usually weighing 1–2 kilograms (&#160)."
49,56,Fruits,Citrus,Citrus reticulata,"The Mandarin orange, also known as the mandarin or mandarine, is a small citrus tree (Citrus reticulata) with fruit resembling other oranges. Mandarin oranges are usually eaten plain or in fruit salads. Specifically reddish-orange mandarin cultivars can be marketed as tangerines, but this is not a botanical classification. When exporting began, local Mandarin oranges were named after their port of origin."
50,57,Fruits,Citrus,Citrus sinensis,"The orange (specifically, the sweet orange) is the fruit of the citrus species Citrus × sinensis in the family Rutaceae.The fruit of the Citrus sinensis is considered a sweet orange, whereas the fruit of the Citrus aurantium is considered a bitter orange. The orange is a hybrid, possibly between pomelo (Citrus maxima) and mandarin (Citrus reticulata), which has been cultivated since ancient times."
51,58,Beverages,Coffee,Coffea,"Coffee is a brewed beverage prepared from the roasted or baked seeds of several species of an evergreen shrub of the genus Coffea. The two most common sources of coffee beans are the highly regarded Coffea arabica, and the ""robusta"" form of the hardier Coffea canephora. The latter is resistant to the coffee leaf rust (Hemileia vastatrix), but has a more bitter taste. Coffee plants are cultivated in more than 70 countries, primarily in equatorial Latin America, Southeast Asia, and Africa. Once ripe, coffee ""berries"" are picked, processed and dried to yield the seeds inside. The seeds are then roasted to varying degrees, depending on the desired flavor, before being ground and brewed to create coffee."
52,59,Beverages,Coffee,Coffea arabica,"Coffea arabica is a species of Coffea originally indigenous to the mountains of the southwestern highlands of Ethiopia. It is also known as the ""coffee shrub of Arabia"", ""mountain coffee"" or ""arabica coffee"". Coffea arabica is believed to be the first species of coffee to be cultivated, being grown in southwest Ethiopia for well over 1,000 years.
It is said to produce better tasting coffee than the other major commercially grown coffee species, Coffea canephora (robusta), because robusta cherries contain twice as much caffeine as arabica. Caffeine itself has a bitter taste, making robusta more bitter. C. arabica contains less caffeine than any other commercially cultivated species of coffee."
53,60,Beverages,Coffee,Coffea canephora,"Robusta coffee (Coffea canephora; syn. Coffea robusta) is a variety of coffee, which has its origins in central and western sub-Saharan Africa. It is a species of flowering plant in the Rubiaceae family. Though widely known as Coffea robusta, the plant is scientifically identified as Coffea canephora, which has two main varieties - Robusta and Nganda."
